"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11200-900000147","성동구","","재건축","추진위원회","경동연립 재건축정비사업 조합설립추진위원회","성수동1가 22-13","조합설립추진위원회승인","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11170-900000111","용산구","","재건축","추진위원회","청화아파트주택재건축정비사업조합설립추진위원회","이태원동 22-2","조합설립추진위원회승인","일시중단","청화아파트 주택재건축 정비사업","용산구 이태원동 22-2","","","","","","","","","","","","","","","","","","","","","",""
"11470-900000057","양천구","","재건축","추진위원회","신월2구역 주택재건축정비사업 조합설립추진위원회","신월동 487-4","조합설립추진위원회승인","일시중단","신월2구역 주택재건축정비사업 조합설립추진위원회","양천구 신월2동 487-4외 31필지","15000.00","","","","","","","","","","","","","","","","","","","","",""
"11290-100001003","성북구","","재개발(주택정비형)","추진위원회","정릉제3구역주택재개발정비사업 조합설립추진위원회","정릉동 894","조합설립추진위원회승인","일시중단","정릉3구역주택재개발정비사업조합추진위원회","서울시 성북구 정릉동 640-17번지 일대","","","","","","","","","","","","","","","","","","","","","",""
"11305-100005002","강북구","","재개발(주택정비형)","추진위원회","미아제16구역 주택재개발사업 조합설립추진위원회","미아동 6","조합설립추진위원회승인","일시중단","미아제16구역주택재개발정비사업조합설립추진위원회","서울시강북구송중동6749번지","","","","","","","","","","","","","","","","","","","","","",""
"11650-900000590","서초구","","재건축","추진위원회","신반포궁전아파트 주택재건축정비사업 조합설립추진위원회","반포동 65-1","조합설립추진위원회승인","운영","신반포궁전아파트 주택재건축정비사업 조합설립추진위원회","서초구 반포동 65-1번지 외","11520.00","47626.24","제3종 일반주거지역","","10551.00","439.00","530.00","","","","","","21.94","299.70","","28","2","222","15","140","67",""
"11260-900000034","중랑구","","재건축","추진위원회","중화동131-35번지일대 주택재건축정비사업 조합설립추진위원회","중화동 131-35","조합설립추진위원회승인","일시중단","중화동131-35일대 재건축정비구역","중랑구 중화동 131-35","17971.00","","도시지역제2종일반주거지역","주택재건축정비예정구역","","","","","","","","","","","","","","","","","",""
"11650-900000659","서초구","","재건축","추진위원회","신반포26차 주택재건축정비사업 조합설립 추진위원회","잠원동 62-4","조합설립추진위원회승인","운영","신반포26차 주택재건축정비사업","서초구 잠원동 62-4","4990.06","","","","","","","","","","","","","","","","","","","","",""
"11560-900000661","영등포구","","재건축","추진위원회","여의도 수정아파트 주택재건축정비사업 추진위원회(신탁)","여의도동 32","조합설립추진위원회승인","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11230-900000729","동대문구","","재개발(주택정비형)","추진위원회","용두1도시환경정비구역 3지구재개발정비사업조합설립추진위원회","용두동 26-14","조합설립추진위원회승인","운영","용두1도시환경정비구역 제3지구 도시정비형재개발사업","동대문구 용두동 26-14","4295.80","","일반상업지역 준주거지역","","","","","","","","","","","","","","","","","","",""
"11545-900000438","금천구","","재건축","추진위원회","우창연립 주택재건축정비사업조합설립추진위원회","가산동 547-44","조합설립추진위원회승인","운영","우창연립","서울특별시 금천구 가산동 547-44번지","5149.00","2072.58","도시지역 준공업지역 도로(접함)","5149.00","5149.00","","","","","","","공동주택","24.70","280.17","","20","2","","152","28","",""
"11560-900000504","영등포구","","재개발(도시정비형)","추진위원회","45. 문래동4가 도시환경정비구역 재개발정비사업조합설립추진위원회","문래동4가 23-6","조합설립추진위원회승인","운영","문래동4가 도시환경정비구역","문래동4가 23-6","94087.00","","준공업지역","일반 미관지구","62464.00","10128.00","20295.00","","","","1200.00","공동주택 산업시설","","","","","","915","277","524","114",""
"11410-900000078","서대문구","","재개발(주택정비형)","추진위원회","가재울뉴타운7구역 주택재개발정비사업 조합설립추진위원회","북가좌동 73-1","조합설립추진위원회승인","운영","가재울7재정비촉진구역 주택재개발정비사업조합설립추진위원회","서울특별시 서대문구 북가좌2동 73-1번지","79696.00","240301.04","제2종 일반주거지역","","57799.00","6767.00","5549.00","1043.00","0.00","7438.00","1100.00","공동주택 및 부대복리시설","21.81","259.51","","28","","1311","405","631","275","임대224세대"
"11560-900000673","영등포구","","재건축","추진위원회","여의도 대교아파트 신탁방식 주택재건축정비사업운영위원회","여의도동 41","조합설립추진위원회승인","운영","대교아파트 주택재건축정비사업","영등포구 여의도동 41","31699.00","145500.96","제3종 일반주거지역","아파트지구","29712.00","","1987.00","","","","","아파트","21.50","299.99","35","35","2","802","376","330","96",""
